행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,가임여성 수,유아인구,출산율,0대남자,10대남자,20대남자,30대남자,40대남자,50대남자,60대남자,70대남자,80대이상남자,0대여자,10대여자,20대여자,30대여자,40대여자,50대여자,60대여자,70대여자,80대이상여자
1111051500,2024.3.31,서울특별시,종로구,청운효자동,11277,5136,6141,5620,227,0.403914591,304,544,667,677,804,866,655,367,252,275,528,719,817,1045,1055,772,541,389
1111053000,2024.3.31,서울특별시,종로구,사직동,8990,3961,5029,4623,165,0.356911097,227,265,428,630,608,675,583,290,255,227,376,610,795,800,788,670,411,352
1111054000,2024.3.31,서울특별시,종로구,삼청동,2233,1061,1172,1090,31,0.28440367,38,93,117,131,153,160,176,118,75,45,69,120,153,157,184,202,135,107
1111055000,2024.3.31,서울특별시,종로구,부암동,9072,4287,4785,4428,125,0.28229449,190,444,549,554,627,735,630,352,206,194,357,533,593,764,879,737,406,322
1111056000,2024.3.31,서울특별시,종로구,평창동,17280,8027,9253,8423,382,0.453520123,532,720,974,970,1116,1377,1314,650,374,448,804,992,1062,1362,1722,1498,770,595
1111057000,2024.3.31,서울특별시,종로구,무악동,7976,3657,4319,3745,183,0.488651535,233,401,386,378,605,721,512,265,156,294,545,436,426,701,721,589,338,269
1111058000,2024.3.31,서울특별시,종로구,교남동,9695,4447,5248,4686,323,0.689287239,361,364,519,634,794,782,545,281,167,372,408,614,764,903,842,657,427,261
1111060000,2024.3.31,서울특별시,종로구,가회동,3836,1790,2046,1912,55,0.287656904,89,156,188,241,285,329,253,157,92,60,149,214,272,329,354,296,206,166
1111061500,2024.3.31,서울특별시,종로구,종로1.2.3.4가동,6700,4032,2668,2546,74,0.290652003,86,107,466,568,517,741,900,434,213,70,113,498,400,323,357,423,273,211
1111063000,2024.3.31,서울특별시,종로구,종로5.6가동,5343,2811,2532,2401,50,0.208246564,66,88,534,503,314,485,477,216,128,81,106,626,394,247,359,324,246,149
1111064000,2024.3.31,서울특별시,종로구,이화동,6981,3290,3691,3553,73,0.205460175,84,170,709,590,399,497,451,255,135,80,153,879,615,391,511,495,318,249
1111065000,2024.3.31,서울특별시,종로구,혜화동,16014,7710,8304,7785,188,0.241490045,241,630,2158,1056,909,1133,830,429,324,256,642,2186,953,972,1220,894,659,522
1111067000,2024.3.31,서울특별시,종로구,창신제1동,4507,2384,2123,2038,49,0.240431796,55,95,275,337,271,437,559,250,105,51,77,255,263,225,397,434,250,171
1111068000,2024.3.31,서울특별시,종로구,창신제2동,7470,3847,3623,3482,64,0.183802412,80,170,477,517,448,859,770,361,165,74,160,456,369,345,795,725,414,285
1111069000,2024.3.31,서울특별시,종로구,창신제3동,6323,3114,3209,2981,144,0.483059376,147,215,419,460,405,565,551,236,116,137,202,382,452,397,603,541,285,210
1111070000,2024.3.31,서울특별시,종로구,숭인제1동,5819,2813,3006,2833,75,0.264737028,98,167,340,407,422,551,476,247,105,97,163,383,410,389,536,519,286,223
1111071000,2024.3.31,서울특별시,종로구,숭인제2동,9982,4861,5121,4977,92,0.184850311,94,131,977,972,561,829,758,385,154,92,152,1531,938,469,705,646,360,228
