행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,가임여성 수,유아인구,출산율,0대남자,10대남자,20대남자,30대남자,40대남자,50대남자,60대남자,70대남자,80대이상남자,0대여자,10대여자,20대여자,30대여자,40대여자,50대여자,60대여자,70대여자,80대이상여자
2611051000,45412,부산광역시,중구,중앙동,3119,1440,1679,1149,12,0.104438642,19,25,323,366,190,186,185,106,40,18,31,567,404,153,154,171,109,72
2611052000,45412,부산광역시,중구,동광동,2440,1231,1209,321,6,0.186915888,26,35,122,136,145,203,284,190,90,26,56,95,86,116,182,280,218,150
2611053000,45412,부산광역시,중구,대청동,5761,2734,3027,1099,14,0.127388535,71,130,377,325,352,459,564,297,159,50,129,423,266,334,473,624,453,275
2611054500,45412,부산광역시,중구,보수동,10257,4903,5354,2002,33,0.164835165,131,227,734,575,599,862,957,558,260,126,248,824,495,528,823,1073,757,480
2611056000,45412,부산광역시,중구,부평동,4177,1978,2199,644,12,0.186335404,41,88,198,215,253,375,419,282,107,30,79,216,177,209,341,532,377,238
2611057000,45412,부산광역시,중구,광복동,902,453,449,131,3,0.229007634,13,18,37,35,57,95,109,57,32,13,17,33,35,52,64,118,73,44
2611058000,45412,부산광역시,중구,남포동,821,485,336,69,0,0,8,13,23,33,38,118,148,82,22,0,11,11,25,28,56,95,67,43
2611059000,45412,부산광역시,중구,영주제1동,4406,2271,2135,852,20,0.234741784,52,93,379,343,328,370,369,240,97,57,88,340,249,222,336,369,285,189
2611060000,45412,부산광역시,중구,영주제2동,6502,3136,3366,918,21,0.22875817,91,169,322,290,365,607,658,425,209,64,176,268,227,348,582,742,599,360
2614051000,45412,부산광역시,서구,동대신제1동,5276,2561,2715,996,46,0.46184739,160,185,258,314,385,430,438,270,121,153,157,290,278,345,420,477,346,249
2614052000,45412,부산광역시,서구,동대신제2동,6623,3212,3411,984,17,0.172764228,89,202,315,266,403,607,636,454,240,87,209,299,218,351,586,721,551,389
2614053000,45412,부산광역시,서구,동대신제3동,7240,3398,3842,1563,43,0.275111964,177,247,499,395,442,547,575,333,183,137,247,619,347,462,518,685,496,331
2614054000,45412,부산광역시,서구,서대신제1동,14862,7050,7812,3327,155,0.465885182,592,666,796,893,1149,1087,965,587,315,523,622,827,962,1241,1172,1112,822,531
2614056000,45412,부산광역시,서구,서대신제3동,7430,3387,4043,1582,58,0.366624526,205,352,357,347,492,592,553,332,157,218,380,402,378,592,683,690,411,289
2614057000,45412,부산광역시,서구,서대신제4동,7191,3470,3721,1437,52,0.361864997,237,410,379,313,507,578,581,322,143,206,349,340,356,576,608,655,375,256
2614059000,45412,부산광역시,서구,부민동,7319,3451,3868,1879,40,0.212879191,157,291,655,399,448,536,525,308,132,153,288,831,422,438,514,611,350,261
2614061500,45412,부산광역시,서구,아미동,6400,3171,3229,1008,13,0.128968254,49,113,368,334,325,572,719,492,199,43,93,436,280,236,419,672,600,450
2614063000,45412,부산광역시,서구,초장동,3815,1918,1897,458,4,0.087336245,35,58,168,152,236,381,448,303,137,36,76,135,102,179,267,430,361,311
2614064000,45412,부산광역시,서구,충무동,9531,4525,5006,1875,46,0.245333333,178,233,556,515,595,830,873,505,240,172,245,677,504,575,759,998,678,398
2614065000,45412,부산광역시,서구,남부민제1동,4453,2240,2213,539,18,0.333951763,48,67,186,198,243,451,524,366,157,44,74,163,139,197,325,556,428,287
2614066000,45412,부산광역시,서구,남부민제2동,7968,3936,4032,998,21,0.210420842,93,189,350,309,479,747,911,609,249,78,175,275,248,388,617,961,803,487
2614068000,45412,부산광역시,서구,암남동,15181,7343,7838,2831,115,0.406216884,424,569,859,789,1072,1176,1435,731,288,368,549,838,758,962,1300,1615,924,524
2617051000,45412,부산광역시,동구,초량제1동,4870,2438,2432,935,14,0.14973262,51,140,312,324,348,466,414,266,117,60,128,350,249,275,355,447,358,210
2617052000,45412,부산광역시,동구,초량제2동,5252,2598,2654,793,14,0.176544767,59,115,232,289,329,501,538,375,160,49,110,271,191,265,409,568,481,310
2617053000,45412,부산광역시,동구,초량제3동,12443,6003,6440,3398,187,0.55032372,549,438,708,1120,1065,903,734,335,151,521,402,977,1214,1017,871,757,427,254
2617055000,45412,부산광역시,동구,초량제6동,5299,2576,2723,726,11,0.151515152,52,164,237,227,326,478,526,373,193,47,151,176,178,285,406,592,508,380
2617056000,45412,부산광역시,동구,수정제1동,3964,1890,2074,703,13,0.184921764,76,132,221,194,275,343,301,237,111,69,136,210,168,253,314,396,329,199
2617057000,45412,부산광역시,동구,수정제2동,8979,4240,4739,1526,50,0.327653997,148,244,385,533,548,761,814,562,245,154,220,455,476,492,747,991,747,457
2617059000,45412,부산광역시,동구,수정제4동,3512,1713,1799,385,6,0.155844156,38,71,167,123,199,333,382,255,145,29,59,116,107,123,284,369,394,318
2617060000,45412,부산광역시,동구,수정제5동,4746,2262,2484,619,6,0.096930533,45,147,202,186,261,449,460,347,165,39,121,176,133,248,387,561,476,343
2617064500,45412,부산광역시,동구,좌천동,11230,5410,5820,1964,100,0.509164969,219,284,612,659,751,912,1036,628,309,237,263,581,603,625,945,1127,843,596
2617065000,45412,부산광역시,동구,범일제1동,10755,5231,5524,1579,40,0.253324889,129,226,511,561,669,943,1143,704,345,130,237,476,486,487,835,1307,889,677
2617066000,45412,부산광역시,동구,범일제2동,7418,3696,3722,1517,51,0.336189848,143,160,412,532,520,682,718,382,147,130,161,528,478,428,630,720,410,237
2617068000,45412,부산광역시,동구,범일제5동,8702,4296,4406,2122,216,1.017907634,436,228,407,1000,750,575,541,268,91,426,250,466,897,643,609,558,327,230
2620053000,45412,부산광역시,영도구,남항동,10222,5109,5113,1475,63,0.427118644,150,221,473,491,695,981,1111,680,307,136,226,418,401,534,777,1137,892,592
2620054000,45412,부산광역시,영도구,영선제1동,3666,1735,1931,533,20,0.375234522,67,109,152,144,227,296,365,256,119,74,99,146,145,188,329,464,311,175
2620055000,45412,부산광역시,영도구,영선제2동,7432,3597,3835,1083,34,0.313942752,127,247,344,349,435,601,756,485,253,113,212,291,288,398,633,815,683,402
2620058500,45412,부산광역시,영도구,신선동,7212,3580,3632,840,9,0.107142857,63,168,281,269,440,722,817,541,279,57,162,219,192,324,538,802,766,572
